City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kailua-kona,19.6406,-155.9956,300.65,77,75,5.66,US,1711583095
84,yellowknife,62.456,-114.3525,270.44,36,20,4.12,CA,1711583087
85,calama,-22.4667,-68.9333,292.42,48,0,8.75,CL,1711583047
86,cestos city,5.46,-9.5828,300.01,90,37,1.96,LR,1711583227
87,yuzhno-kurilsk,44.0306,145.8556,274.47,74,10,2.17,RU,1711583112
88,shira,54.4911,89.9531,269.17,91,100,0.82,RU,1711583227
89,yeppoon,-23.1333,150.7333,299.03,80,74,6.18,AU,1711583227
90,ardestan,33.3761,52.3694,286.27,46,100,2.23,IR,1711583228
91,tofol,5.3248,163.0078,302.03,79,100,7.2,FM,1711583228
92,lebu,-37.6167,-73.65,287.3,90,0,6.25,CL,1711583093
93,krasnyy chikoy,50.3643,108.7512,264.0,79,87,3.74,RU,1711583228
94,lata,40.1629,-8.3327,284.3,91,100,3.86,PT,1711583228
95,nica,43.7031,7.2661,284.49,65,0,4.63,FR,1711583229
96,dunedin,-45.8742,170.5036,281.37,84,89,3.13,NZ,1711583117
97,haparanda,65.8355,24.1368,273.18,96,100,5.19,SE,1711583229
98,ilam,26.9167,87.9167,289.03,86,93,1.14,NP,1711583229
99,tiksi,71.6872,128.8694,251.12,91,100,2.44,RU,1711583090
100,hithadhoo,-0.6,73.0833,300.93,75,98,2.94,MV,1711583106
101,papatowai,-46.5619,169.4708,281.99,69,81,9.33,NZ,1711583088
102,camayenne,9.535,-13.6878,301.2,74,0,2.06,GN,1711583103
103,port elizabeth,-33.918,25.5701,293.2,95,75,1.03,ZA,1711583093
104,wakkanai,45.4094,141.6739,278.2,78,20,7.2,JP,1711583230
105,as sulayyil,20.4607,45.5779,293.29,49,4,4.93,SA,1711583117
106,odesskoye,54.2111,72.9651,274.15,100,100,2.57,RU,1711583230
107,corner brook,48.9667,-57.9484,277.24,87,100,2.78,CA,1711583231
108,longyearbyen,78.2186,15.6401,268.06,68,75,5.66,SJ,1711583097
109,la passe,45.5549,-0.8967,282.58,79,95,13.86,FR,1711583231
110,aldan,58.6031,125.3894,260.76,93,100,4.04,RU,1711583138
111,pemangkat,1.1667,108.9667,297.23,89,100,2.67,ID,1711583231
112,smithers,54.7804,-127.1743,283.33,37,75,3.09,CA,1711583110
113,sipalay,9.75,122.5,302.75,63,66,2.59,PH,1711583232
114,la ronge,55.1001,-105.2842,269.29,33,40,6.17,CA,1711583133
115,vadso,70.0744,29.7487,268.24,68,75,5.14,NO,1711583232
116,hawaiian paradise park,19.5933,-154.9731,298.88,83,75,3.6,US,1711583123
117,nanakuli,21.3906,-158.1547,301.12,65,100,3.6,US,1711583232
118,rodez,44.5,2.5833,282.97,61,74,9.26,FR,1711583232
119,mormugao,15.4,73.8,299.74,83,28,2.06,IN,1711583233
120,st. john's,47.5649,-52.7093,275.25,62,100,4.12,CA,1711582983
121,usevia,-7.1,31.2333,293.15,96,100,0.79,TZ,1711583233
122,bykovo,55.6361,38.0803,272.14,88,0,0.0,RU,1711583233
123,fort bragg,35.139,-79.006,291.76,93,100,2.06,US,1711583097
124,hermanus,-34.4187,19.2345,290.82,83,99,5.95,ZA,1711583096
125,colonia,50.9333,6.95,281.46,83,0,2.06,DE,1711583136
126,pocao de pedras,-4.6667,-44.85,297.13,97,61,1.0,BR,1711583234
127,gadani,25.1185,66.7299,297.27,79,100,3.98,PK,1711583234
128,cidreira,-30.1811,-50.2056,295.98,80,75,6.99,BR,1711583219
129,camabatela,-8.1881,15.375,291.35,97,98,1.12,AO,1711583234
130,holualoa,19.6228,-155.9522,298.46,76,75,5.66,US,1711583235
131,badger,64.8,-147.5333,277.43,69,75,3.6,US,1711583100
132,jiuquan,39.7432,98.5174,281.4,24,95,1.33,CN,1711583141
133,kodiak,57.79,-152.4072,274.88,69,100,5.14,US,1711583099
134,pyt-yakh,60.7499,72.8582,261.85,95,100,5.14,RU,1711583235
135,lerwick,60.1545,-1.1494,280.15,91,79,9.74,GB,1711583236
136,amungan,15.3652,119.9582,302.74,66,46,2.19,PH,1711583236
137,safotu,-13.4513,-172.4018,301.29,79,100,2.08,WS,1711583236
138,kadugli,11.0167,29.7167,299.58,13,12,3.18,SD,1711583236
139,mil'kovo,55.6078,37.7956,272.37,95,57,1.73,RU,1711583236
140,salinas,36.6777,-121.6555,288.2,75,100,7.2,US,1711583198
141,qobustan,40.0824,49.412,281.9,75,0,3.3,AZ,1711583237
142,xiva,41.3783,60.3639,282.14,55,100,8.8,UZ,1711583237
143,lautoka,-17.6167,177.4667,303.07,70,75,2.57,FJ,1711583237
144,santana,-0.0583,-51.1817,301.25,89,75,3.6,BR,1711583108
145,soio,-6.1349,12.3689,300.38,86,98,1.29,AO,1711583237
146,kourou,5.1552,-52.6478,299.18,91,72,3.65,GF,1711583098
147,dapa,9.7594,126.0531,300.09,83,56,3.58,PH,1711583127
148,tolanaro,-25.0319,46.9987,295.19,94,40,3.09,MG,1711583088
149,barah,13.7,30.3667,295.64,13,34,4.24,SD,1711583238
150,fonte boa,-2.4959,-66.2662,298.36,92,90,1.3,BR,1711583238
151,greenville,35.6127,-77.3663,288.79,91,100,2.06,US,1711583238
152,knoxville,35.9606,-83.9207,291.29,38,0,4.12,US,1711582966
153,korla,41.7597,86.1469,283.37,37,2,1.02,CN,1711583239
154,anadyr,64.75,177.4833,256.43,85,75,4.0,RU,1711583100
155,mount isa,-20.7333,139.5,298.02,78,59,3.6,AU,1711583096
156,petropavlovsk-kamchatsky,53.0452,158.6483,270.48,64,0,2.0,RU,1711583093
157,uturoa,-16.7333,-151.4333,301.71,72,59,7.34,PF,1711583113
158,hamilton,39.1834,-84.5333,282.17,56,0,2.57,US,1711583107
159,aasiaat,68.7098,-52.8699,259.95,89,100,3.74,GL,1711583089
160,puerto ayora,-0.7393,-90.3518,301.23,92,66,0.45,EC,1711583088
161,ponta delgada,37.7333,-25.6667,285.55,87,75,14.4,PT,1711583240
162,mantyharju,61.4167,26.8833,273.21,95,100,2.24,FI,1711583240
163,nueva rosita,27.95,-101.2167,299.5,13,0,5.48,MX,1711583241
164,chonchi,-42.6128,-73.8092,288.71,90,20,0.67,CL,1711583110
165,bueng kan,18.363,103.6519,300.88,76,94,1.46,TH,1711583241
166,nantucket,41.2835,-70.0995,282.18,93,100,2.06,US,1711583025
167,afaahiti,-17.75,-149.2833,302.08,73,90,6.33,PF,1711583108
168,suntar,62.1444,117.6319,253.34,97,95,2.21,RU,1711583094
169,najran,17.4924,44.1277,291.51,71,38,3.76,SA,1711583242
170,gusau,12.1628,6.6614,302.05,10,86,3.13,NG,1711583139
171,humberto de campos,-2.5983,-43.4611,297.73,92,95,1.88,BR,1711583242
172,chifeng,42.2683,118.9636,274.29,36,34,9.39,CN,1711583242
173,puerto armuelles,8.2833,-82.8667,302.14,82,98,2.24,PA,1711583145
174,lamar,33.6668,-95.5836,289.25,50,0,3.09,US,1711583242
175,peniche,39.3558,-9.3811,284.88,91,96,7.77,PT,1711583243
176,podgorenskiy,50.405,39.6429,276.31,82,2,1.69,RU,1711583243
177,lira,2.235,32.9097,292.78,86,66,1.42,UG,1711583140
178,villa gesell,-37.2639,-56.973,293.74,81,100,4.67,AR,1711582998
179,rio grande,-32.035,-52.0986,296.21,74,94,5.39,BR,1711582751
180,yamada,39.4667,141.95,280.46,45,2,3.35,JP,1711583244
181,fort william,56.8165,-5.1121,276.1,93,100,2.26,GB,1711583090
182,tarakan,3.3,117.6333,299.87,89,40,1.03,ID,1711583244
183,thompson,55.7435,-97.8558,267.24,35,75,8.75,CA,1711583109
